dataset,n_test,auc,sens_95spec,best_l1,best_C
GSE101684,8,0.5,0.0,0.23704008931294968,0.501645121745252
GSE113740,1592,0.8355621373327569,0.7078651685393258,0.8084572292422537,0.9797021991262457
GSE126094,20,0.5,0.0,0.3737361159124507,0.32861299804643174
GSE164174,2934,0.9708465199626534,0.8312458800263678,0.19946384551609003,0.1018967827393898
