Cohort,Top_K_Probes,theta_target,GCC_Nodes,GCC_Edges,Instability_Rate_%,EBC_Enrichment_Ratio,Rank_Biserial_|r|
GSE73002 Serum,300,0.9239999999999999,74,1111,67.14671467146715,1.5457904722935467,0.22594292849535424
GSE73002 Serum,500,0.944,169,2994,75.18370073480294,1.5704302882820556,0.15874685275214895
GSE73002 Serum,1000,0.964,346,13182,72.18176301016538,1.5328733209441134,0.010245187188113514
GSE115513 Tissue,300,0.7879999999999998,64,818,21.026894865525673,2.510819653852207,0.6358989128086976
GSE115513 Tissue,500,0.8189999999999998,180,2958,30.324543610547668,2.064557666559978,0.3436761819142682
GSE115513 Tissue,1000,0.7149999999999997,385,11822,26.543732025038064,2.9454229013133024,0.46632841098212463
