cohort,N_samples,theta_target,density_pct,gcc_edges,disconnected_nodes,unstable_edges,unstable_pct,ebc_enrichment,rank_biserial_r,empirical_p_val,wgcna_beta,wgcna_r2,wgcna_passed,lost_regulatory_pathways
GSE73002 (Breast Cancer Serum),1280,0.944,2.400801603206413,2994,331,2339,78.12291249164997,1.5686010889473394,0.15113981638920526,0.000999000999000999,20,0.6074130606944754,False,6
GSE115513 (Colorectal Carcinoma Tissue),750,0.8189999999999998,2.506613226452906,2958,320,855,28.904665314401623,2.0203760630551013,0.33790157752917716,0.000999000999000999,10,0.9723612979701937,True,4
