cohort,N_samples,theta_target,density_pct,gcc_edges,disconnected_nodes,unstable_edges,unstable_pct,ebc_enrichment,rank_biserial_r,empirical_p_val_10k_perm,baseline_gcc_pathways_denominator,stable_subgraph_pathways,pathways_lost_in_stable,regulatory_pathways_lost,wgcna_beta,wgcna_r2,wgcna_soft_variance_reduction_fold
GSE73002 (Breast Cancer Serum),1280,0.944,2.400801603206413,2994,331,2339,78.12291249164997,1.5686010889473394,0.15113981638920526,9.999000099990002e-05,120,113,13,13,,,
GSE115513 (Colorectal Carcinoma Tissue),750,0.8189999999999998,2.506613226452906,2958,320,855,28.904665314401623,2.0203760630551013,0.33790157752917716,9.999000099990002e-05,106,106,1,1,10.0,0.9723612979701937,259.2584730954504
