theta,baseline_edge_count,flipped_edge_count,graph_edit_distance,mean_ebc_flipped,mean_ebc_preserved,ebc_enrichment_ratio,mann_whitney_p_value,community_count_before,community_count_after,abs_delta_C
0.7,118193,2109,2109.0,1.996466184377527e-05,8.59933746640725e-06,2.3216508946317105,4.3679017210514685e-252,4,5,1
0.725,117592,2419,2419.0,1.3902540824763012e-05,8.132847099136468e-06,1.7094307744711426,3.812681697307264e-175,6,5,1
0.75,116530,2708,2708.0,1.6600261084992022e-05,8.338979016689892e-06,1.9906824397909275,1.6918339146115777e-81,8,5,3
0.775,115720,3196,3196.0,1.0136842022390544e-05,8.08619984594231e-06,1.2535976060348852,9.03613736162109e-157,11,6,5
0.8,114470,3918,3918.0,1.0432410640678773e-05,8.126729237705772e-06,1.2837156316909948,6.378176300530222e-85,13,6,7
