cohort,N_samples,probes,baseline_edges,density,wgcna_beta,wgcna_r2,unstable_edges,stable_edges,mean_ebc_unstable,mean_ebc_stable,mean_ebc_null,enrichment_unstable_stable,enrichment_unstable_null,mann_whitney_u,p_value,rank_biserial_r
GSE73002 (Early-Stage Breast Cancer Serum),1280,500,96478,0.7733707414829659,20,0.504749667849369,5175,91303,5.2111760643096946e-05,1.0759402504280538e-05,1.2220174090588774e-05,4.843368930476929,4.264403763185866,327371565.5,0.0,0.3857202040178265
GSE115513 (Colorectal Carcinoma Tissue),750,500,541,0.004336673346693387,10,0.9587549332332124,205,336,0.00017765102673759708,0.00011056152912895734,0.000999283594916265,1.6068068751435292,0.17777838790068895,43201.5,3.388542265327108e-07,0.2543989547038328
