fold,auc,sens_95spec,l1_ratio,C
1,0.9748746500117624,0.9118329466357309,0.2992256259586828,0.24097730569273146
2,0.9782465301001416,0.9327146171693735,0.6849425596074882,2.063635501332526
3,0.9785002283284054,0.9535962877030162,0.7074892070115916,0.9685850039146424
4,0.9877982270454146,0.9559164733178654,0.16414674805198726,3.456460464259113
5,0.9771048129825697,0.9558139534883721,0.3370737491905521,0.7374344450528815
