instability_threshold,unstable_edges,stable_edges,mean_ebc_unstable,mean_ebc_stable,enrichment_ratio
p_flip_gt_0.02,2573,421,0.0006962809930558246,0.0004270759072839575,1.6303448158749239
p_flip_gt_0.05,2339,655,0.0007151388492748714,0.0004559086773210054,1.5686010889473394
p_flip_gt_0.10,2016,978,0.000738508784909713,0.0004933499404102265,1.49692687263468
